;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
0;update proguard rules on README.md ( <pr_link> );-;https://github.com/square/okhttp/commit/1801d0cb2c7132a97c3e9c011a8546f883dfcf12;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.8365535140037537;0.5687405467033386
1;Fix single failing graal test ( <pr_link> );single failing;https://github.com/square/okhttp/commit/a334f6f14f40f1586ae309277033c5b1ea53a749;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.8120822906494141;0.5615929961204529
2;Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;https://github.com/square/okhttp/commit/5c10006e0a0299ff39ad2e5ee425057b20644afd;Use IOException instead of <iden>;more specific in <file_name> API;https://github.com/square/okhttp/commit/cdc48ba8b0e4bdfccc208985bfef200220096d9d;Contradicts;0.9572819471359252;0.6329300999641418
3;Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;https://github.com/square/okhttp/commit/5c10006e0a0299ff39ad2e5ee425057b20644afd;Dont use <iden> APIs not in Gingerbread;APIs not in Gingerbread;https://github.com/square/okhttp/commit/ef09f798a32dc4d0593388054e446f199c14ec8f;Contradicts;0.970535397529602;0.1505926251411438
4;Wrap <iden> addresses with [] and return / path URIs for proxy CONNECT;Fix MockWebserver for <iden> addresses;https://github.com/square/okhttp/commit/a01b5115985e555761fee9f9dafb9d7f14ad13cd;We dont need no stinkin braces;no stinkin braces;https://github.com/square/okhttp/commit/ac0a0b98e425be757b04b93ab9d4d7b0600d3815;Contradicts;0.8085965514183044;0.264008104801178
5;Update  <file_name>  to temporarily ignore javadoc errors and compile tests but not run ( <pr_link> );temporarily ignore javadoc errors and compile tests;https://github.com/square/okhttp/commit/18f3564a4f2b17c3067e7f02337e3909ba5cb3ba;Introduce <method_name> ;This is the payoff that preceding changes have been working towards.;https://github.com/square/okhttp/commit/59e68cd2bcba789e7faca70f8910afd2edeed2be;Contradicts;0.8332425951957703;0.3974940180778503
6;Update  <file_name>  to temporarily ignore javadoc errors and compile tests but not run ( <pr_link> );temporarily ignore javadoc errors and compile tests;https://github.com/square/okhttp/commit/18f3564a4f2b17c3067e7f02337e3909ba5cb3ba;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.8708324432373047;0.3609926104545593
7;Make  <file_name>  more capable.;more capable;https://github.com/square/okhttp/commit/9e0b5b81b0ac25f59a25bd744dc788fe5c3e2971;Move out of the <file_name> package;To promote the code into AOSP, well keep this package as-is and do the jarjar in <iden> instead;https://github.com/square/okhttp/commit/50999cceb5f5bcdaf79baa5ac7eeef90c72bda8d;Contradicts;0.851633608341217;0.262746512889862
8;Add HTTP/2 and <iden><version> columns to our security providers doc ;to enhance our security documentation;https://github.com/square/okhttp/commit/82f773376e19bb7e10916627349fad06e45f90cb;We dont need no stinkin braces;no stinkin braces;https://github.com/square/okhttp/commit/ac0a0b98e425be757b04b93ab9d4d7b0600d3815;Contradicts;0.8905800580978394;0.2460952699184417
9;Use  <file_name> s built-in <iden> style  <enter>  ;The boilerplate to set this up is unfortunate;https://github.com/square/okhttp/commit/7c4c8c724dd8e05c4907c46309d0290dc44764fb;Remove <iden>-mode <iden> cipher suites;This removes the following cipher suites as supported-by-default;https://github.com/square/okhttp/commit/ea014716fd2a8712ee39888725f91bed43148cd3;Contradicts;0.8611755967140198;0.3796012103557586
10;Use  <file_name> s built-in <iden> style  <enter>  ;The boilerplate to set this up is unfortunate;https://github.com/square/okhttp/commit/7c4c8c724dd8e05c4907c46309d0290dc44764fb;Dont attempt <iden> modes we know will fail.;we know will fail;https://github.com/square/okhttp/commit/46a0852c202acf68cd890867a35f8e51b81c2948;Contradicts;0.8105632066726685;0.542046070098877
11;Use  <file_name> s built-in <iden> style  <enter>  ;The boilerplate to set this up is unfortunate;https://github.com/square/okhttp/commit/7c4c8c724dd8e05c4907c46309d0290dc44764fb;Dont use <iden> APIs not in Gingerbread;APIs not in Gingerbread;https://github.com/square/okhttp/commit/ef09f798a32dc4d0593388054e446f199c14ec8f;Contradicts;0.9736319184303284;0.3883456587791443
12;Degrade connections after a timeout;This is based roughly on the <iden> Connections proposal here;https://github.com/square/okhttp/commit/b5efb41a636154cb8bbc7c5ea3c8244090692d28;Make the `<method_name>` return full working connections;Previously the returned connections required the caller to do extra work: setting up tunnels and performing an `<iden>` handshake. With this change, we make a complete working connection in `<method_name>`. This will make it easier to fix fallback when a single domain has multiple `<iden>` addresses that are not reachable. Also, this will make it easier to do SPDY through `<iden>` proxies.;https://github.com/square/okhttp/commit/40ff76547064c3fb5acb9047a6f679dd4379a4d0;Contradicts;0.907505214214325;0.3633803427219391
13;Use <iden> in <file_name>  ;The utility here is negligible. Were sharing threads between HTTP, HTTP/2 and web sockets now.;https://github.com/square/okhttp/commit/620be4c97baf5d20cb21c55a11a6191b2511f1ce;Dont use <iden> APIs not in Gingerbread;APIs not in Gingerbread;https://github.com/square/okhttp/commit/ef09f798a32dc4d0593388054e446f199c14ec8f;Contradicts;0.9618443250656128;0.4811022579669952
14;Use <iden> in <file_name>  ;The utility here is negligible. Were sharing threads between HTTP, HTTP/2 and web sockets now.;https://github.com/square/okhttp/commit/620be4c97baf5d20cb21c55a11a6191b2511f1ce;Remove old <iden> protocol method;old;https://github.com/square/okhttp/commit/4ab6a8258b0df3a3528029f810e1f48952dba2d7;Contradicts;0.9414310455322266;0.2595474421977997
15;Include prerequisites in the releasing guide.;to provide necessary information for users;https://github.com/square/okhttp/commit/99b83a3b20e6fe22b6ea587599fde1423056af2d;We dont need no stinkin braces;no stinkin braces;https://github.com/square/okhttp/commit/ac0a0b98e425be757b04b93ab9d4d7b0600d3815;Contradicts;0.8178389668464661;0.2737457156181335
16;Fix some maven problems that are blocking the <version> release;blocking the <version> release;https://github.com/square/okhttp/commit/2b5337d14ecce5f965ea0d0001f30565f0e1d4a0;We dont need no stinkin braces;no stinkin braces;https://github.com/square/okhttp/commit/ac0a0b98e425be757b04b93ab9d4d7b0600d3815;Contradicts;0.8141953945159912;0.5129327774047852
17;Rename <method_name> to <iden()>;I prefer signed;https://github.com/square/okhttp/commit/137e7de0454f10160370f105ac7d9d2fc5403c84;Drop our one remaining <iden> cipher suite;Tracking <iden> and Firefox, which have also dropped this cipher suite;https://github.com/square/okhttp/commit/868ee844458eda9ee7b1b6f9a5238b7c3f84c0e4;Contradicts;0.8376716375350952;0.1270491480827331
18;Fixup <file_name> so that its worthy of production use.;This changes the default from the insecure 1024-bit <iden> to a secure 256-bit <iden> key. It adds a new option to use <iden> keys for interoperating with older clients.;https://github.com/square/okhttp/commit/db2ae92156242255a0d42caaf50c7801e79de917;Kill <file_name> in the process  ;Teach <file_name> <iden>;https://github.com/square/okhttp/commit/00a50d1919549b51d941aeb893b2a5ed465aa472;Contradicts;0.9481149315834044;0.3889638483524322
19;Fixup <file_name> so that its worthy of production use.;This changes the default from the insecure 1024-bit <iden> to a secure 256-bit <iden> key. It adds a new option to use <iden> keys for interoperating with older clients.;https://github.com/square/okhttp/commit/db2ae92156242255a0d42caaf50c7801e79de917;Move out of the <file_name> package;To promote the code into AOSP, well keep this package as-is and do the jarjar in <iden> instead;https://github.com/square/okhttp/commit/50999cceb5f5bcdaf79baa5ac7eeef90c72bda8d;Contradicts;0.937183141708374;0.4107277691364288
20;Fixup <file_name> so that its worthy of production use.;This changes the default from the insecure 1024-bit <iden> to a secure 256-bit <iden> key. It adds a new option to use <iden> keys for interoperating with older clients.;https://github.com/square/okhttp/commit/db2ae92156242255a0d42caaf50c7801e79de917;Push OkHttp 3.1<version> into the sea;It is no longer supported;https://github.com/square/okhttp/commit/0e0f3a2d8d95278bf362eaeb08f13516e383fafd;Contradicts;0.8943849205970764;0.1954929828643798
21;Remove <iden>-mode <iden> cipher suites;This removes the following cipher suites as supported-by-default;https://github.com/square/okhttp/commit/ea014716fd2a8712ee39888725f91bed43148cd3;Refactor <file_name> by using <iden>;We can use <iden> instead of overriding <iden> abstract class;https://github.com/square/okhttp/commit/bc3c787ea2df854ac399603d5c67111716137d31;Contradicts;0.958443820476532;0.5673208236694336
22;Fix tests to share a common <iden>. Also fix the memory limit, which may prevent Travis from failing our tests.;share a common <iden>, memory limit, prevent Travis from failing our tests;https://github.com/square/okhttp/commit/5b8c043329b181d6d762d6192f3ded8abd84852e;We dont need no stinkin braces;no stinkin braces;https://github.com/square/okhttp/commit/ac0a0b98e425be757b04b93ab9d4d7b0600d3815;Contradicts;0.9383443593978882;0.3458177447319031
23;Fix tests to share a common <iden>. Also fix the memory limit, which may prevent Travis from failing our tests.;share a common <iden>, memory limit, prevent Travis from failing our tests;https://github.com/square/okhttp/commit/5b8c043329b181d6d762d6192f3ded8abd84852e;Push OkHttp 3.1<version> into the sea;It is no longer supported;https://github.com/square/okhttp/commit/0e0f3a2d8d95278bf362eaeb08f13516e383fafd;Contradicts;0.8169822096824646;0.2568265795707702
24;New <file_name> class to normalize certificate chains  ;The goal of this is to get the root <iden> certificate into the certificate chain, so that it can be considered by the certificate pinner;https://github.com/square/okhttp/commit/18b2660873ed8f028ee72981c882ed676aa08030;Move out of the <file_name> package;To promote the code into AOSP, well keep this package as-is and do the jarjar in <iden> instead;https://github.com/square/okhttp/commit/50999cceb5f5bcdaf79baa5ac7eeef90c72bda8d;Contradicts;0.952043890953064;0.656694233417511
25;Drop our one remaining <iden> cipher suite;Tracking <iden> and Firefox, which have also dropped this cipher suite;https://github.com/square/okhttp/commit/868ee844458eda9ee7b1b6f9a5238b7c3f84c0e4;Refactor <file_name> by using <iden>;We can use <iden> instead of overriding <iden> abstract class;https://github.com/square/okhttp/commit/bc3c787ea2df854ac399603d5c67111716137d31;Contradicts;0.8720489144325256;0.4030262231826782
26;Dont attempt <iden> modes we know will fail.;we know will fail;https://github.com/square/okhttp/commit/46a0852c202acf68cd890867a35f8e51b81c2948;Use consistent camel casing of <iden>;consistent camel casing;https://github.com/square/okhttp/commit/eb5e72280b56427139bb14ffe14036f8dca6dba3;Contradicts;0.8772659301757812;0.2372001409530639
27;Dont attempt <iden> modes we know will fail.;we know will fail;https://github.com/square/okhttp/commit/46a0852c202acf68cd890867a35f8e51b81c2948;Move <iden> retries / fallback into <method_name>;The decision is explained by the improvements in handling connection attempts and IOExceptions, making retries smarter in different scenarios.;https://github.com/square/okhttp/commit/60f5406dcc094d0431420139bd002e8bdd4ea5d5;Contradicts;0.8375486731529236;0.1805590093135833
28;Dont attempt <iden> modes we know will fail.;we know will fail;https://github.com/square/okhttp/commit/46a0852c202acf68cd890867a35f8e51b81c2948;Refactor <file_name> by using <iden>;We can use <iden> instead of overriding <iden> abstract class;https://github.com/square/okhttp/commit/bc3c787ea2df854ac399603d5c67111716137d31;Contradicts;0.9819705486297609;0.4252250790596008
29;"Define async APIs and switch <file_name> to use <iden> directly. I think this is the best route going forward; and eventually we could invert this relationship to have <iden> depending on <file_name> directly rather than vice versa.";Using <iden> directly introduces some duplicated code with <iden>. It also breaks the <file_name> cache.;https://github.com/square/okhttp/commit/37c01895cca5ec2bec26a3d381611f0938acd6d0;Kill <file_name> in the process  ;Teach <file_name> <iden>;https://github.com/square/okhttp/commit/00a50d1919549b51d941aeb893b2a5ed465aa472;Contradicts;0.9666885137557985;0.4062442779541015
30;"Define async APIs and switch <file_name> to use <iden> directly. I think this is the best route going forward; and eventually we could invert this relationship to have <iden> depending on <file_name> directly rather than vice versa.";Using <iden> directly introduces some duplicated code with <iden>. It also breaks the <file_name> cache.;https://github.com/square/okhttp/commit/37c01895cca5ec2bec26a3d381611f0938acd6d0;Dont use <iden> APIs not in Gingerbread;APIs not in Gingerbread;https://github.com/square/okhttp/commit/ef09f798a32dc4d0593388054e446f199c14ec8f;Contradicts;0.9731087684631348;0.1402597725391388
31;"Define async APIs and switch <file_name> to use <iden> directly. I think this is the best route going forward; and eventually we could invert this relationship to have <iden> depending on <file_name> directly rather than vice versa.";Using <iden> directly introduces some duplicated code with <iden>. It also breaks the <file_name> cache.;https://github.com/square/okhttp/commit/37c01895cca5ec2bec26a3d381611f0938acd6d0;Move <iden> retries / fallback into <method_name>;The decision is explained by the improvements in handling connection attempts and IOExceptions, making retries smarter in different scenarios.;https://github.com/square/okhttp/commit/60f5406dcc094d0431420139bd002e8bdd4ea5d5;Contradicts;0.8457306027412415;0.4320321977138519
32;"Define async APIs and switch <file_name> to use <iden> directly. I think this is the best route going forward; and eventually we could invert this relationship to have <iden> depending on <file_name> directly rather than vice versa.";Using <iden> directly introduces some duplicated code with <iden>. It also breaks the <file_name> cache.;https://github.com/square/okhttp/commit/37c01895cca5ec2bec26a3d381611f0938acd6d0;Return <file_name> to previous (e.g. KitKat) behavior;this change required to handle this <iden> scenario;https://github.com/square/okhttp/commit/6cf56de5d0701ff26aa6043c552e17c4665c1287;Contradicts;0.8916997313499451;0.5269404649734497
33;Dont use <iden> APIs not in Gingerbread;APIs not in Gingerbread;https://github.com/square/okhttp/commit/ef09f798a32dc4d0593388054e446f199c14ec8f;Refactor <file_name> by using <iden>;We can use <iden> instead of overriding <iden> abstract class;https://github.com/square/okhttp/commit/bc3c787ea2df854ac399603d5c67111716137d31;Contradicts;0.8843427896499634;0.4629420042037964
34;Introduce a <file_name> interface between engine and connection.;This breaks the direct dependency from <file_name> to <method_name>;https://github.com/square/okhttp/commit/5f87fc19ab269a929b61c088a806a674644caa6a;Move out of the <file_name> package;To promote the code into AOSP, well keep this package as-is and do the jarjar in <iden> instead;https://github.com/square/okhttp/commit/50999cceb5f5bcdaf79baa5ac7eeef90c72bda8d;Contradicts;0.947943389415741;0.4897964298725128
35;Remove old <iden> protocol method;old;https://github.com/square/okhttp/commit/4ab6a8258b0df3a3528029f810e1f48952dba2d7;Refactor <file_name> by using <iden>;We can use <iden> instead of overriding <iden> abstract class;https://github.com/square/okhttp/commit/bc3c787ea2df854ac399603d5c67111716137d31;Contradicts;0.9273405075073242;0.4379514455795288
